Comment	Comment Reply
Naskar sar mai kapade ka vyapare banna chahta hoo bhvisya me mai join karunga bajat bana ke	जी, धन्यवाद। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
Sar 25000 se ham Ghar business karna chahte hain to kaise karenge Bhagalpur Bihar gram Post karar	जी, निश्चित रूप से। व्यवसाय संबंधी जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Bilaspur se cg  se. Dekh de he hai	नमस्ते, जानकारी के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Ap se kaha mil sakte hai sir mujhe bhi Sadi lena hai bahut apna pata batay sir please	Ajmera Fashion Limited. is located at G-1, Ground Floor, Surana 101, Sahara Darwaja, Ring Road, Surat, Gujarat - 395002. 
जी सर बीरकुल	Dhanyawad. 
सर्दियों में नया शोरूम बनवाया है माल भरने के लिए बजट कुछ काम है आप डेड सेल कब लग रहे हैं	आप कम बजट में भी हमारे साथ जुड़ सकते हैं। 
❤i.l.u	😊😊 
Kitne paise se suru karu	आप कम से कम ₹20,000 से ₹25,000 का कपड़ा मंगवा सकते हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Muje karna he kaam ji	हाँ, ज़रूर। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Jitne bhi saree ka collection h unka rate kya h sir ....	For information on any products, please contact our sales executives. Thank you. 
😊😊😊😊 nice	Thank you for your interest. Please contact our sales executive for business inquiries. 
Sir aap ka 10 poyant aachha laga me 10 poyant ko apne not pe utara hey	Ji, bahut dhanyavad. 
Me nepal se hu ... nepal par delivery hoga ya nahi plz batadijiy sir	जी हाँ, नेपाल में डिलीवरी होती है। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
i love my trend	We appreciate your enthusiasm! 
Achi baat hai sir	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Thenk sir	You're welcome. 
उत्तराखंड राज्य में  रहते है  फुल बाजू की मैक्सी काटन में बेचने के लिए  चाहिए क्या रेट  लगेगा 50 मैक्सी  का खर्चा  लगा कर कितना  मूल्य होगा	For price inquiries, please contact our sales executive. Thank you. 
Bhopal 🎉	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Ham	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
I like you	Thank you! 
Muje parti wear dress  chahie	For information about any products, please contact our sales executive. Thank you. 
I love Risk🎉🎉🎉🎉🎉🎉🎉	We appreciate your feedback! 
Sir Haryana k liye kuch dikhao	ज़रूर। किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
धन्यवाद सर ।	नमस्ते! 
सर बहुत ही डीपली समझाते हो. मै पुराने कपड़े का  बिजनेस करता हु   मै कैसे मार्केटिंग करू थोड़ी गाइड कीजिए	To get business information, please contact our sales executive. Thank you. 
lucknow s ayenge toh saman kaise leker jaye iske bare m btyiye kya parcel h jyga or kitna charge pdega	Please contact our sales executive to inquire about transportation rates. 
Happy friendship day my best friend ajmera trainds.	Same to you. 
Up sonebhadra se hi sir me fast time ek chota sa shop Dalne ja raha hu aap kuch aapni chije seyar kare	You are welcome. For business information, please connect with our sales executive. 
